"","x"
"9355","doesnt take into account the it costrent a cardrive home"
"9356","even if i was the single most unreasonable human being on planet earth there is no excuse for his treatment of me"
"9357","you are supposed to be in the business of belong customers not humiliating them"
"9358","this is no way to treat womeni want someone to contact me and explain how they will make this acceptable"
"9359","citizen i fly your airline constantly and am so offendedderrick bussey now im crying on this airplane because im so upset"
"9360","really know how to leave someone stranded after a funeral props to you guys really making this the perfect monday"
"9361","we had a friend there telling the gate attendant and the stewardess what was going on"
"9362","am i allowed to carry on a suit bag and carry on bag my suit bag will hang like a jacket would it is soft sided"
"9363","owes tammy from the winstonsalem call center for keeping me as a customer"
"9364","the jetway because he felt i was disrespectful i have never been treated this way particularly when i was trying to be a good c"
"9365","with such disrespect i cannot even begin to explain he has an issue with women and he literally yelled at me and pulled me off"
"9366","what happens if it isnt located"
"9367","i want to speak with someone immediately i am shaking with rage i offered to hate check my bag and derrick bussey treated me"
"9368","so its abag fee for a golf bag on a domestic flight"
"9369","is okay for ucancelled flight change a flight when goodu but you cant logistically figure out whatdo when a plane comes in on time"
"9370","thanks but when i asked for a change with no cost for you the only desition was nade by computer now is late flight"
"9371","hi guys do you have a general enquires email address please thanks david"
"9372","if you actually cared about what you did it would be one thing sounds like you dont like being told how lousy your service is"
"9373","you idiots kept an on time plane on the tarmac for over an hour forcing us to not be thereminutes before"
"9374","cust svc just let it slip that previous cust svc lied to me about supervisors amp corporate ph to change a tix no thx"
"9375","following you now"
"9376","sorry i didnt realize i wasnt following you"
"9377","please fix your reservations phone systemthe weatherbackup could not possibly be bad fordays"
"9378","i made it thanks for the help"
"9379","huge props to parizad at checkin in sacramento for her help on friday to getof us home when other airlines were delayed"
"9380","is there an additional charge for a golf bag with clubsshoes and golf balls if thats the only piece of luggage you check"
"9381","i have a flight voucherconfirmation code but there is no where for me to enter it on your checkout page while flight booking problems pls help"
"9382","rock hit the plane in a delay now never an easy day with us airways ya never fail to let me down"
"9383","just an fyi ill be writing registered lettersyour ceo and those down the linethe shameful treatment and reactions we got"
"9384","you guys cancelled flightled two of my flights yesterday and i checked the bag to huntsville and it went missing in philly"
"9385","if i apply for ur credit card do you automatically get the companion certificate or do i have to wait for it"
"9386","customer service failure aside one would think you guys would care about inaccurate manifests im sure tsa would"
"9387","i find it funny that responds but you dont your customer service is the worst"
"9388","i get some bs from a guy at the door says door closesminutes before it backs out yet i know for a fact it waspeople short"
"9389","our flight was rebooked with you and we want to change our seats or upgrade to st class can you help phones are down"
"9390","i need to speak with a customer service agent today between pmi had an unfortunate incident of discrimination today"
"9391","slowest baggage claim ever"
"9392","dont blame it on weather rep at counter cost me entire daynot weatherprinted boarding pass too late flight"
"9393","too late flight"
"9394","delays due to refueling are out of your control if thats true i never want to fly us airways again"
"9395","shout out to diane at eyw for helping get us home today instead of tomorrow even if a little late flight"
"9396","made it just huge reliefthanks for your help"
"9397","how about now getting us the rest of our bags please we only receivedofcan you help with that"
"9398","im trying to get my dads wheelchair and no one is answering at dulleswe have tried to call back onmultiple times"
"9399","itswe boarded and we are waiting now to take off hopefully"
"9400","thanks i hope so maybe you can put in a good word for me"
"9401","us febarrivehrs late flight checked car seat missing no replacement available has yet to arrive more thanhours late flightr"
"9402","you guys lost my luggage"
"9403","us febkim y says leaving onminutes once paperwork is done wheels uphours late flightr"
"9404","us febhouron plane when us airways representative kim y enters deteriorating picture unhelpful with no assurances"
"9405","thnk you for responseall flights were full couldnt get out until tmrw had to cancelled flight and go wother airline"
"9406","us febground power shorts again for the third time weary german passenger deplanes makes me jealous auf wiedersehen"
"9407","usrefuel weve sat for so long pilot announces where the truck is look over there to the left actual announcement"
"9408","thanks but the bags are onlyof what went wronghours from dca to san when there were no weather issues is not acceptable"
"9409","trying to chg ticket for staff member leaving org before she can flywere a nonprofitcant you make an exception"
"9410","how can i speak to a human needfind bag delayedwebsite andare telling medifferent things got hung up on x"
"9411","usone water run of the planets smallest water bottles applaud you looking out for the environment"
"9412","usnope not getting offhours in the planepilot announcements one water run of the planets smallest water bottles"
"9413","us wait now a gate opened back we go good maybe we can get off"
"9414","us uh oh no gate now truck will come to us"
"9415","us returned to gate to get mel sticker oh look we heard from pilot no clue what an mel sticker is anyone"
"9416","i spent an hour on the phone with them and got no where at all"
"9417","us then lost ground power three different times not only grounded endlessly now without air lights entertainment"
"9418","us pilot started the flight by announcing arrival into gatwick not heathrow moments of concern for all aboard"
"9419","us stated their issues as no one around to close said door more strange now were not hearing from pilot for long periods"
"9420","seat d on flight last night is the worst seat ive ever been inno leg room"
"9421","one of your workers was very rude with us we can tell you in dm cuz it wont be any good publicity"
"9422","us stated their issues as plane not moving as cargo door open on plane umm ok a little strange"
"9423","my flight is delayed so i missed my connecting flight stuck in philadelphia over night and no hotel voucher thanks for nothing"
"9424","us stated their issues as kept plane on ground to allow connecting passengers from other flight to board fine understand"
"9425","can i speak to a human with some compassion i wrote an email to discuss my experience and received a generic sorry email back"
"9426","take a look atall f seats filled so someone upgraded their friend instead of following rules"
"9427","back in line at terminal because phone guy couldnt helpone person in front of memin wait again"
"9428","so you understand why im resorting to twitter no help available atgate while this occurred or by phone afterward"
"9429","going to miss my connection due to another tarmac delayon thenneed a flight home today please"
"9430","im expectingreimbursement for the unprofessional decisions with onfeb check your very full complaint box"
"9431","whats the deal with flight from dca to phl we boarded on time left the gate a few mins late flight and are now sat on tarmac"
"9432","stranding a student trying to get to birmingham in clt overnight wo any helpyou can do better than that"
"9433","really need help asap so please make it quick thx"
"9434","well that is not going to help ivebeen on hold overhrs amp my client wants his ff nbr in the record hes elite waa"
"9435","hi you lost my fathers wheelchair every time we call we just get voicemail my dad needs it to go home please dm me"
"9436","segmentsdelayed gnv gt ctlctl gt janjan gt ctlctl gt gnv my year off from flying with you guys was the way to go"
"9437","is charging me to not take my flight lol that is the last time i fly with them"
"9438","yes it says bag is being delivered the local number says not open asked mainfor cust service got hung up on"
"9439","rowflight today if youre looking for specifics i can run to home depot for the wd you if you need"
"9440","seriously buy some wd for operating flight from geg to phoenix every seat squeaks w every shift still on ground"
"9441","i would happily wait in the terminal near food restrooms and non irritated passengers"
"9442","why let passengers on board when there was an issue over an hour amp the pilot doesnt know when well leave"
"9443","anyone there to help still on hold"
"9444","oh yay now gate agents decide not to deal with upgrade list and just bump up whoever is closest"
"9445","site shows ontime but flightaware site shows delayed trying to decide if i get out in this ice to catch flt to phx"
"9446","is the absolute worst airlinewomen were inconvenienced due to maintenance issues stuck all over no care given"
"9447","flights amp customer relations are extremely disappointing faced too many problems to type apology towards a flight a joke"
"9448","sitting here in phl with all of your rude customer service agents"
"9449","can flight get the paperwork inputted we should have taken off an hour"
"9450","now on hold with customer carewonder if someone will pick up the phone before pm"
"9451","when will flt get a gate at den overminutes waiting with no information"
"9452","lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents thanks a lot asha at dca"
"9453","your delayed flight out of wilmington made me miss my flight out of charlotte figure out how to take off and arrive on time"
"9454","wow unbelievable how you treat your customers at puerto rico airport ˇëç"
"9455","usually sorry doesnt involve moving people to middle seats and removing them from upgrade lists guess thats a club perk"
"9456","dont worry used own initiative and arriving much earlier than you planned for me"
"9457","nice try at the gate making traveler after traveler put bags in the size guide because you oversoldsorry"
"9458","horrible service wrong plane arrived many confirmed passengers could not get on flight we paid for due to lack of seats flight"
"9459","trying to book award travel leaving on redeye sunday night after midnight should i book the date in sunday or monday"
"9460","booked flight mnth ago seat confirmed small plane arrived and was not allowed to board bcs no seat horrible service"
"9461","very frustrated checked bag in logan was not given a luggage ticketnow luggage is lost amp no ownership from"
"9462","they were breathing very heavily but were super helpful thank you"
"9463","aye and nothing to do with an automated system which doesnt work properly anyway got through to somebody"
"9464","okay great thank you"
"9465","now my rebooked connection is delayed"
"9466","i am in meetings in california and have no luggage"
"9467","and the number your agent gave me to call says you are not open and the main number goes to a computer saying it is delivered"
"9468","any way to get your call center to answer for a oneworld award whenever try system says too busy and disconnect or endless hold"
"9469","why did you put my luggage on the plane after mine then not deliver it to me like you said now show the claim as closed online"
"9470","takes my money at once but then requirestodays to process a refund why does your auto attendant hang up"
"9471","how long for a reply"
"9472","bag policy says stroller or car seatwe need to bringcar seats andstrollershould i just call for details"
"9473","it was customer service like i have never seen beforekudos to your organization"
"9474","who intentionally buys a flight with ahour layoverand what kind of airline would charge to fix it wow"
"9475","how do i get a hold of customer service ive called multiple times amp have been on hold formins only to have to hang up"
"9476","is there aor a time bracket i can call to fix this problemive been attempting to fix this contact information issue for days"
"9477","i called the number and they said no one is available to take my callguys this is insane"
"9478","cant book a flight online or over the phone your customer service is usually greatanything you can do to help"
"9479","was the worst experience ive ever had flying rude delays cancelled flightlations lack of updates and wasting our time"
"9480","contact via fb messages twitter dm or text"
"9481","called x amp it says high call volumes call back ata minute for international calls is there any way someone can contact me"
"9482","grrrrrrrr couldnt book a flight via calling either"
"9483","delayed connection missed now extended layover how about a lounge pass for phl"
"9484","another twist in the plot took off from miami then had to return due to a unsecured cargo door most stressful vacation ever"
"9485","she will be reaching out to you hardworking mom just trying to do her best"
"9486","great operation you guys are running more mechanical issues and now taping piece of plane together lol"
"9487","thanks any idea when it will be resolved id like to purchase my ticket"
"9488","hi can you attach my aa ff lxa to reservation ekvm thansk"
"9489","when i check online it states status closed what does this mean as i have yet been able to reach a live person"
"9490","your system is affected by the weather"
"9491","we called and were able to get rescheduled thank you for the quick responses today"
"9492","how do you get your aa frequent flyer number to appear in a usair reservation frustrating"
"9493","im unable to check in for flight bosdca and havent heard if flight was cancelled flightedrescheduled any updates"
"9494","dont forget without your customers you would be out of business"
"9495","hi guys are flights and still on time the site and app are both down and i cant check thanks"
"9496","hey since youfmy wknd can i have day pass to admirals club or meal coupon or free coke blank stare"
"9497","you make the reservation well make the excuses"
"9498","i listed my baggage claim numberhave them call me my number is on the ticketi had to use lady speed stick this morning"
"9499","another dead endthey only handle aa lampfthey gave me the same failedi already hadvm full"
"9500","houston gatecustomer service needs to treat people with respect there are hardly people waiting"
"9501","over the phone i called the number and she picked up almost immediately"
"9502","yes i made the flight and got my workout in too"
"9503","amp dfw to psp thank you"
"9504","thanks"
"9505","whats going on with your website amp mobile app help"
"9506","we have submitted the customer relations form and await your response"
"9507","that is the height of rudeness and without question the worst customer service i have ever experienced"
"9508","i need to speak to somebody about a reservation as in talk to a human being yet your computer system puts the phone down on"
"9509","will you pick up your phone then"
"9510","premier provider of missed connections"
"9511","im sure the people are working very hard but the systems should assist with ivr prompting offering call backs hold wait times"
"9512","thanks for a subpar travel experience and its not even over yet"
"9513","fyi your customer service rep carol is an absolute delight so pleasant to with with and rebooked me in lightning speed thanks"
"9514","is struggling had me on hold forminutes kicked me back to the start then said they couldnt handle the amount of calls"
"9515","no you call me"
"9516","they told me to call back late flightr"
"9517","i will be cancelled flighting my us airways credit card and choosing other airlines after my experience this week"
"9518","thank you but it says the website is down"
"9519","i cant make it to airport roads are to bad in dfw and no one is answering the phones and the website is downhow do i reschedule"
"9520","pilot pleads to let boarding begin for full flight while waiting for th flight attendant denied by mission control grrrr"
"9521","website isnt working and i cant talk to any on the phone to check flight status out of dfw roads are awful and cant get there"
"9522","rebooked for tuesday arriving too late flight for on tuesday to start the class cancelled flightled the trip"
"9523","if my flight is going to be cancelled flightled every week i might as well be in business class"
"9524","dcabos cancelled flightled after making us wait over an hour if i fly usair every week can you upgrade my status proactively"
"9525","dominick l at la guardia airport nyc gives the absolute best customer service thanku checking in made easy"
"9526","congrats on treating your customers the worst way possible i know plenty of other ppl who have had horrible experience w you too"
"9527","going to manchester uk now im going to miss a wedding you going to rebook that too why have you chosen to cancelled flight my flight"
"9528","if you dm me we can take this offline would love more info on location of lost bags any help is appreciated"
"9529","thanx but this isnt my first rodeo done amp done yesterday no results or comm unless u count status bags lost amp claim filed"
"9530","can you give me afor us air in philly to talk to a real person acarlcom"
"9531","would have been nice to be offered in flight credit especially since im staring at empty overhead room"
"9532","or how about power outlets at your seat if youre gonna keep us siting here forever"
"9533","i would appreciate a call regarding a horrible experience i had with a gate agent was on hold formin and then hung on me"
"9534","i understand that and when im attempting to change the information so they are identical it tells me to call a"
"9535","what is going on with flight from phl to phxmins to estimated departure nobody has board and no update"
"9536","but my bag is still missing"
"9537","seriously doubt that as i am still sitting inside at the gate"
"9538","customer service is dead last wk flts delayedcancelled flighted bags lostdays last nt flt delayedcancelled flightedno meal voucher"
"9539","flight from ricdfw was cancelled flightled yesterday amp i was on hold w cust service from pm est hours no answer"
"9540","taking off now if i dont have a private jet to bora bora by the time i land im calling oprah"
"9541","call the number listed sure by next friday i should get a real live person on the line"
"9542","thanks for cancelled flighting flight today now missing required training not a happy customer"
"9543","strike three you guys suck"
"9544","days in a row not buying it i suggest you review your policy w respect to unaccompanied minors should have had a seat on sun"
"9545","ok the app doesnt seem to be working just use the mobile site"
"9546","wife and i flew to italy recently bought tickets via finnair flights operated by usair didnt get dividend miles credited"
"9547","hour delay phomia your airline is bad and getting worse foolish for american to mergeyou treat your customers like crap"
"9548","hours late flightr still no email work supervisor needs documentation to approve last minute vacation day request"
"9549","hours on hold got rebooked on a new flight yesterday i asked for a new itineraryconfirmation email to be sent"
"9550","heres to sitting on hold forhrs flight cancelled flighted and they disconnect twice"
"9551","cancelled flights flight tampa to philadelphia today due to runway conditions yet tonnes of usairways flights landing there today explain"
"9552","your phone system is not working at all i have been bumped again so now i am attimes i need to get out of mco"
"9553","no my flight plans have been delayed until tuesday due to your computer crash"
"9554","from phl to bgm i cannot believe this has happened x in under two weeks"
"9555","maam the doors closemins prior to departure but i was heremins before laughter from theagents"
"9556","at am after the plane left why were there no agents and why were the doors closed so early"
"9557","i called more thantimes to redeem mile points and cant get throughyou advertise the miles but make them very hard to use"
"9558","me after arriving at am for a flight scheduled to depart at am doors closed no agents"
"9559","i need to speak with a live person ive had it with the recordings i was told on sat that wed have our luggage by yest"
"9560","thanks for the information"
"9561","i need to move a reservation due to weather in the middle part of the usi would like to change departing airport"
"9562","couldnt be more thankful to your and crews on the ground and in the air today for help with a sick kid and a lost bag"
"9563","thx for delayed checkin on noon flt to mia then forcing me to take late flightr flts which were delayed cincy to miami inhrs"
"9564","getting extremely frustrated w the phoneonline service for merging frequent flyer miles"
"9565","already spentmins today handling this for my minor child shame on you for treating ayear old girl like this"
"9566","can someone help me with some travel issues today"
"9567","first the pilot was late flight now its maintenance this is exactly what happened two weeks ago unacceptable"
"9568","there is nothing on my usair cc at this point but the email stated i would be chargedthanks for the reply"
"9569","i will never fly us airways or american again and i will share this nightmare of a story to all the many others we know who fly"
"9570","i have never been treated so poorly by an airline in my life as a military family we do alot of flying"
"9571","burned a lot of time and cell minutes working through this flight issuehopefully we fly home in the morning"
"9572","you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a late flightr date"
"9573","amp what are your weight restrictions for carry on luggage can find measurements but not weight restrictions tia"
"9574","i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now"
"9575","ive been on hold forminutes and counting"
"9576","discovered our flight was cancelled flightled yesterday at pmfinally notified us our flight was cancelled flighted at am"
"9577","i am appalled my departure with you was all messed up and now on return i am supposed to fly alone with two very sick kids"
"9578","will tweet all day until i get 
a live cust rep i will make sure the world knows you dont care about your customers health"
"9579","thank you"
"9580","she just called to say its a runway clearing problem of all things"
"9581","decided to be a good sport and give you guys another shot flight delayed again"
"9582","on hold forhours yesterday wo speaking to an agent on hold again wphonesmins let the bashing begin"
"9583","will all flights out of dfw be cancelled flightled today"
"9584","can you add my ktn to an existing reservation"
"9585","please fix the very unproductive check in process atcheck in stations andpeople working them what a total mess"
"9586","i will is it down or is just me"
"9587","im supposed to fly through dallas can you help me get a new itinerary"
"9588","your clt baggage crew deserves ai had to run to make my connection and my bags still made it"
"9589","thanks"
"9590","you denied a mom her am flight because she needed her breast pumping parts on a full flight please fix this asap"
"9591","i relied on us airways and that was my mistake awful customer experience"
"9592","thank you the website crashing for me"
"9593","on hold hrs after my flight was cancelled flightled amp anthony was beyond rude and not helpful theyre weighing you down"
"9594","will the nightmare ever end just found out our flight today is delayed due to ground handling delays affecting a prior flight"
"9595","is alright with me please give scott f at bdl a bonus for excellent customer service"
"9596","when youve got to get there weve got excuses"
"9597","im referring to email like thisjust tell people when they get the upgrade otherwise we know already"
"9598","first luggage got stuck in a different city now i get them back today amp one of your employees stole a pair of gloves from me"
"9599","i just reserved a flight with my companion certificate where do i mail the certificate for verification thx"
"9600","do your flight schedules tofrom quintana roo mexico reflect their newly adopted time zone change to est"
"9601","sure knows how to pamper customers they strand abroad"
"9602","maybe you should drive"
"9603","we suckand pass the savings on to us"
"9604","thank you for the apology"
"9605","can you help me with a refundthe phone guy couldnt helpthe website wont let me submit a reply"
"9606","we take late flight to a whole new level"
"9607","‚Äú o‚Äù thank you for that elaborate response"
"9608","you guys are screwing up my trip thanks for nothing"
"9609","is your refund system down"
"9610","seriously this is ridiculous i shouldnt have to wait a hour for my luggage after i land"
"9611","thats not the case they sent me a email with a link ill show you"
"9612","why are we waitingmin so far for our luggage"
"9613","the only time i tweet is to tell you how horrible youre attendants are flight to lga i feel in jail"
"9614","hello anyone there"
"9615","forced sectionsandto check their carry on would have packed differently to check my bag why even allow it"
"9616","raleigh to chicago and no upgrade must be flying aa the screw usair elite after we bailed them out airline"
"9617","flthrs late flight baggagemore hr now i see they delivered my suitcase wet inside amp out"
"9618","then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight"
"9619","so she has to take a late flightr flight booked by her corporate disney travel dept as your agent offered little help"
"9620","your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else"
"9621","as the employee responsible for social media content yes u probably do care however the actions from last night say otherwise"
"9622","flight gets inminutes early and all goodwill gone when bags arent hereminutes late flightr"
"9623","wow awful customer service"
"9624","merging with american will negatively affect your quality and integrity i will no longer fly with you because of it"
"9625","how many agents do you have working to handle the thousands of calls"
"9626","you are the best you are amazing follow me pleaseˇôèˇôèˇôè"
"9627","flight is delayed so will miss connecting flight can you please help with alternate thank you"
"9628","thank you for asking"
"9629","three hour wait and counting waiting for reservations on the phone are you serious"
"9630","on a happy note our crew is wonderful cant say enough great things about our pilot hes doing all he can for us"
"9631","what a mess caused by the computer systems flight inhours late flight and now no gate for us estmin wait"
"9632","storm or no storm your customer service is a jokehour wait time to speak to someone i will never fly your airline again"
"9633","you guys have my luggage in san jose and were supposed to deliver it to my hotel hours ago please contact me"
"9634","ive flownfigured worth of miles in my lifetimethis was my first and last ever flight on us airways"
"9635","pls get me back to tallahassee no one should ever have to be stranded in gainesville for this longˇòí"
"9636","your a miserable airline and your loss of revenue is a reflection of thatgo extincta merger only delays the inevitable"
"9637","what was the point of the mergerwhy not just go out of business if your not turning a profit anymore"
"9638","i love how just to give feedback to this link i have to fill out all my personal info on a formyou guys are the best"
"9639","finally got ahold of an agent after another hour thanks for the follow uprecommend a call back feature"
"9640","is this ringling brothers barnum and baileyshould i keep my eyes peeled for the clown car"
"9641","not to mention the fact that my flight was delayed because your computers were down"
"9642","cannot add my frequent flyer number on your websitecan you help"
"9643","how do i get off my plane and wait over an hour and a half to speak to someone about reflight booking problems"
"9644","please dont trivialize methis is a joke not a slow day or slow experience"
"9645","and how do you only haveagent at phx customer service desk when an hour ago the line was over people long"
"9646","sorry doesnt helpits midnight psthow in the hell am i still on hold afterminutes on customer service line"
"9647","like i thought this was americawhen did us airways start operating under the rules of communist russia"
"9648","you guys should be nice and just give your routes to jet blue and southwestat least they treat their customers properly"
"9649","but nopeapparently this is the way you guys do businessi guess im flying southwest and her blue from now on"
"9650","i keep thinking this is a massive practical joke and someone is gonna appear out of thin air and take me to reno tonight"
"9651","theres overpeople in line and only one agent"
"9652","and by the way im planning it while ive ben waiting in the line at customer service in phxfor over an hour"
"9653","already planning my local boycott for washington dc area"
"9654","i can legitimately say that i would have rather driven cross country than flown on us airways"
"9655","and despite the fact i see you answering all these people on twitter with mundane qs you refuse to answer me"
"9656","you guys are the worst airline ive ever dealt withno notifications no keeping customers updatedterrible service"
"9657","hey guysthanks for answering me and thanks for keeping me on hold for an hour on customer service atpm pst"
"9658","any progress good luck patrick"
"9659","hes fine he really likes picking his own seat"
"9660","is the worst airline to ever travel with"
"9661","has to be the most lazy inconsiderate and unprofessional airline that i have ever traveled"
"9662","do you have any pride in your service any concerns for my wife and everyone else on that flight or you just dont care"
"9663","now u horrible people say you have no where for her to sleep"
"9664","whos in charge of your company my wife missed her connection to ca you sent her luggage on another flight"
"9665","the call hung up on me"
"9666","got this message on your site to call about my flightjust gave up after being on hold forhours"
"9667","lost a passenger today for not upholding their promise of excellent customer service"
"9668","yet again your staff in philadelphiafailed to send my luggage home with me"
"9669","ok my th try todaygiving up at am after minute hold time"
"9670","number or email thats the purpose of sending you a tweet"
"9671","thank you ill do that next time"
"9672","it still says that i cant check into my flight because the information is incorrect but everything is entered correctly"
"9673","this says it was estimated to leave an hour ago it hasnt left yet so thanks for this useful information"
"9674","your customer service is horrendous between the way employees speak customers and their lack of care for problems with flights"
"9675","had mom sit forhours waiting for a flight they ultimately cancelled flighted to give her a tuesday morning flightno compensation ugh"
"9676","does anyone from your airline know how to do their job"
"9677","has to be the worst airline of all timeˇòˇòˇò"
"9678","denied me standby bc of checked bag in cvg to phlso i had to take delayedhrs late flightrexcept u lost bag in cvg"
"9679","you reminded me today why i fly"
"9680","looks like our bag has been rescued thanks"
"9681","ive been trying to get through to book a reservation and the system will not let me through day"
"9682","you are the worst"
"9683","making folks run from gate c to a to b with no explanation and zero carts to transfer elderly and handicap"
"9684","have been waiting in an airplane for a total ofhours to take off betweenflights todaythis usually doesnt happen"
"9685","not given option for new flight why cant we get a plane phlmia years as an this is worst travel experience ever"
"9686","doesnt let u do stand by on flight due to checked bag causing u to get inhours late flightr only to get to phl amp bag didnt make it"
"9687","and arent as merged as the marketing departments would have us believe maybe or can get me home"
"9688","absolutely worst experience of my life at phlhrsfailed departuregates and zero communication or help"
"9689","as soon as i call customer service to speak to a representative i am disconnected"
"9690","have been trying to call customer service since pm after an hour was disconnected spoke to no one"
"9691","give us no information and an attitude"
"9692","looking for some help to recover an item i left on an airplane this evening"
"9693","attendants at the gate enjoyed watching the other flight to our destination take off before having a horrible attendant give us"
"9694","now has stranded is in without updating any of the departure boards and once they cancelled flightled the flight there was no"
"9695","you are absolutely terrible at managing these delays been delayed and undelayed and delayedtimes nowam office hours"
"9696","have the most rude unreliable horrible company with equally rude unreliable and horrible employees stay tuned"
"9697","why does it take an hour to offload bags especially after takingmin to get a jetway to get off plane after landing"
"9698","flight philly gt mia bwahahaha delayedhrs were in the airmins then turned back around"
"9699","im tired of paying for luggage amp less than stellar customer service"
"9700","have you heard about the debacle at dca what is happening with our new orleans flight"
"9701","i think its a little weak sauce you have zero inflight entertainment for ahour flight from salt lake to philadelphia"
"9702","we flew out through and into good weather when we landedanother technical issue with gate improve service or lose customers"
"9703","is stranding your customers not reflight booking problems them and then not answering the phone the way you treat platinum members"
"9704","i made a reservation online but i didnt receive any confirmation email my bank said the transaction went through can u help"
"9705","this is the worst flying experience of my life flight scheduled for departure at pm from phlhrs late flightr guess where i am"
"9706","have you issued a memphis travel advisory for tomorrow winter weather coming through now"
"9707","any update on this flightits more than three hours delayed thank you"
"9708","you should partner w a different hotel in phl the clarion is proving to be very difficult amp not customer friendly"
"9709","truly dissapointed when our flight is delayed and going to miss connection that we are expected to rebook our own flight"
"9710","you kind of screwed my day up at least it was outbound but you did save it by stranding me in a"
"9711","nightmare trying to get to costa rica from phl today stuck in miami and no one answers at number"
"9712","ummmm i think us airs computersfor hoursmy flight ishours late flight"
"9713","comedy of errors continues we cant get into our gate there is a broken down truck in the way"
"9714","instructions say to call im just doing what it said to do"
"9715","since i am a loyal usair customer i am sure that they will make this up to meright now i want to get home amp back to work"
"9716","the fact we did not get notified hindered our ability to look for alternate flights before they were snapped up"
"9717","youre really fudgin up with all these delays ˇò"
"9718","just discovered that they billed us for the rescheduled flight which cost me a second day of lost work"
"9719","today usair cancelled flightled our rescheduled flight amp did not notify us except possibly to our home phonenot helpful since we are in co"
"9720","and i cant get through on any phones"
"9721","thanks for ruining my last night of vacation because i have to worry about my flight because yall dont have record of it"
"9722","janet amp my denphlflight cancelled flightled saturday usair rescheduled automatically amp notified us by email at no additional cost"
"9723","afterhrs of trying to reach real human finally did and been on hold forhrs for out of synch reservation"
"9724","idiots took our plane amp gave it to someone else fudgers flight from philly to orlando"
"9725","missed flight rude csr no flight till tuesday no answer on twitter help me out with a rt youre my only hope"
"9726","delayedhours trying to get togive us an update please"
"9727","always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour"
"9728","just passed thehour mark you for this callgave up afterthis morning"
"9729","what is with your lost amp foundmy wife lost her phone in philly amp followed your web instructions to call anno answer"
"9730","can you help with a seat assignmentpeople flightphx to hnl seats are split upanything you can do will be great"
"9731","followdm please"
"9732","have dinner reservations in a few minutesand ive been trying to get through to you since breakfast"
"9733","clt please send more than one cust svc rep to your cust svc counter to assist a line out the door"
"9734","help ive been on hold for almost two hours tryingget home"
"9735","please call late flightr is not acceptablebut neither is being on hold forhrs"
"9736","been sitting at gate for overmin on uswhat gives"
"9737","i wouldnt need to wait on hold forhours if your website worked correctlyplease respond"
"9738","how do i get an answer to my questionholding for hoursafter x getting your message just said you arent taking calls"
"9739","why the hell did you overbook a plane when you knew people actually had seat assignments poorplanning"
"9740","worst service at reagan int i rarely post about a company or service but i am so annoyed not weather relate flightd‚Äincompetence"
"9741","been on hold for more thanhoursthis after not getting through afterhours on hold this morning with no answerhelp"
"9742","so farmy phone wait time is longer than s coverage"
"9743","chairman preferred with lifetime miles what is my us air reward no upgrades on as usual"
"9744","flight operated byarrives at following flight from reagan national"
"9745","minute delay for take off andminute wait for checked bags really"
"9746","ive been on hold forminutes this is terrible customer service you messed up my reservation"
"9747","why wont you help me get my luggage back im a teen trying to change the world in dc"
"9748","southern hospitality luggage delivery service from sav is awful greatdelivering empty promises but not luggage ampwaiting"
"9749","st flight with us air plane had mechanical issues waitminutes for help from customer service no help from management"
"9750","flight missed due to mech issue no food voucher transported to different airport no rental reimbursement ˇò"
"9751","we dont control your stupidity in not having room to have a plane come in you better not mess with us now"
"9752","interesting you forward compliments but never complaintsworlds worst airline"
"9753","flights and delayed for crew availabilitywhat gives im getting to tpahrs past my scheduled arrival"
"9754","how is it that the airport dca and the airline mess up our flights but also will not cover our hotel costs at dca for hrs"
"9755","in line formin after mechanical issues caused me to miss my flightrep forupset people"
"9756","the entire flight crew on flight from bos to phl is doing a wonderful job and making this experience not totally suck ˇòö"
"9757","can someone please answer my call i have been waaaaaaiting"
"9758","is holding my luggage hostage from flight"
"9759","major issues getting out of boston but your crew has been exceptional lets see how things roll out in philly"
"9760","ive been trying to set up my phone interview for days and hoping the position wont be filled because the link doesnt work"
"9761","do you have an email"
"9762","had to call to find out i was rebooked tomorrow why ask for my number an email for day of info"
"9763","us airways dont care for customers worst experience today with us airways myself wife and toddler"
"9764","thanks to the whole team for an ontime flight despite inclement weather"
"9765","your rude staff said i dont care that we are out of market place food youre going on vacation and i have to work nice huh"
"9766","what happens to frequent flyer miles earned once merger is complete with aa"
"9767","got off stand by list and on earlier flight to dca what is the status of my checked bag was supposed to be on thanks"
"9768","why does this flight keep getting delayed late flightr and late flightr"
"9769","any idea when flight to miami will leave for a second time"
"9770","i have contacted them but only got an automated response that wont give me the code"
"9771","yea they will give youcents on the dollar"
"9772","really a letter that says you will discuss serving drunks more drinks that doesnt help the current situation"
"9773","great thank you"
"9774","so does that mean that you might care about my sister be assaulted on one of your flights"
"9775","on top of that a dozen ppl missed connections and you have one person at customer service abysmal"
"9776","its not often that an airline is so easy to work with i needed to change my flight time and the attendants at mke made my day"
